Institution,City,Country,CHAMNHA,HEAT,HIGH,ENBEL,GHAP,HAPI,BioHEAT,HIGH_Horizons
Wits Health Consortium,Johannesburg,South Africa,1,1,1,1,1,1,1,1
IBM Research Africa,Johannesburg,South Africa,0,1,0,0,1,0,1,0
South African Medical Research Council,Pretoria,South Africa,1,0,0,0,1,0,0,0
University of Pretoria,Pretoria,South Africa,0,1,0,0,1,0,0,0
University of the Witwatersrand,Johannesburg,South Africa,0,0,0,1,0,1,1,0
Stellenbosch University,Stellenbosch,South Africa,0,0,0,0,0,0,1,0
CeSHHAR,Harare,Zimbabwe,1,1,1,1,1,1,0,1
KEMRI-Wellcome Trust,Kilifi,Kenya,1,0,1,0,0,0,0,1
Aga Khan University,Nairobi,Kenya,1,0,1,1,1,0,0,0
Institut de Recherche en Sciences de la Santé,Ouagadougou,Burkina Faso,1,0,0,0,1,0,0,0
Higher Institute of Public Health,Ouagadougou,Burkina Faso,0,1,0,0,0,0,0,0
Institute of Public Health,Bujumbura,Burundi,0,1,0,0,0,0,0,0
University Peleforo Gon Coulibaly,Korhogo,Côte d'Ivoire,0,1,0,0,1,0,0,0
Felix Houphouët Boigny University,Abidjan,Côte d'Ivoire,0,1,0,0,0,0,0,0
Nangui Abrogoua University,Abidjan,Côte d'Ivoire,0,1,0,0,0,0,0,0
Centre Suisse de Recherches Scientifiques,Abidjan,Côte d'Ivoire,0,1,0,0,0,0,0,0
Institute of Public Health,Nouakchott,Mauritania,0,1,0,0,0,0,0,0
Makerere University,Kampala,Uganda,0,1,0,0,0,0,0,0
Medical School of Rwanda,Kigali,Rwanda,0,1,0,0,0,0,0,0
Ziguinchor University,Ziguinchor,Senegal,0,1,0,0,0,0,0,0
IRESSEF,Dakar,Senegal,0,1,0,0,0,0,0,0
Cheikh Anta Diop University,Dakar,Senegal,0,1,0,0,0,0,0,0
International Health Support Centre,N'Djamena,Chad,0,1,0,0,0,0,0,0
University of Lome,Lome,Togo,0,1,0,0,0,0,0,0
University of Botswana,Gaborone,Botswana,0,0,0,1,1,0,0,0
Muhimbili University,Dar es Salaam,Tanzania,0,0,1,0,0,0,0,0
Federal University of Technology,Akure,Nigeria,0,1,0,0,0,0,0,0
University of Yaoundé,Yaoundé,Cameroon,0,1,0,0,0,0,0,0
Midlands State University,Gweru,Zimbabwe,0,1,0,0,0,0,0,0
University of Cape Town/The Health Foundation,Cape Town,South Africa,0,1,0,0,1,0,0,0
Quantum Health,Johannesburg,South Africa,0,0,0,0,1,0,0,0
Section 27,Johannesburg,South Africa,0,0,0,0,1,0,0,0
Climate-Health Africa Network for Collaboration and Engagement,Cape Town,South Africa,0,0,0,0,1,0,0,0
Climate Systems Analysis Group,Cape Town,South Africa,0,0,0,0,1,0,0,0
Division of Human Genetics,Johannesburg,South Africa,0,0,0,0,0,0,1,0
Empilweni clinic,Johannesburg,South Africa,0,0,0,0,0,0,1,0